PF13411	57
PF00376	36
PF07690	271
PF05175	91
PF12680	107
PF02624	1112
PF01061	278
PF12698	257
PF00005	692
PF13304	322
PF14028	510
PF04738	336
PF00881	426
PF03704	149
PF00486	178
PF00196	195
PF04542	56
PF08281	83
PF00083	114
PF01037	74
PF13412	94
PF13404	75
PF17854	71
PF01580	71
PF13491	70
PF09397	69
PF03548	75
PF12002	84
PF00004	151
PF05496	98
PF07728	112
PF16193	83
PF02403	93
PF00587	103
PF06779	84
PF04055	493
PF13353	267
PF13394	240
PF01228	136
PF02901	137
PF01226	131
PF18381	236
PF00710	46
PF17763	43
PF00266	143
PF00275	105
PF02224	97
PF13189	90
PF00575	102
PF00216	94
PF18291	95
PF13560	91
PF01022	41
PF12840	48
PF04545	64
PF00158	33
PF07730	46
PF00072	218
PF03772	67
PF00753	110
PF00571	44
PF13437	45
PF00497	65
PF08447	37
PF13426	56
PF00989	56
PF00015	61
PF00528	140
PF02566	81
PF00561	101
PF12697	104
PF12146	70
PF01546	128
PF08448	40
PF13188	34
PF13302	50
PF00583	153
PF13649	171
PF08241	183
PF01266	43
PF00672	55
PF02518	96
PF13561	141
PF00106	142
PF08659	119
PF00440	151
PF13847	138
PF01209	87
PF00664	107
PF00270	75
PF00271	68
PF13508	82
PF00296	46
PF02310	36
PF03466	117
PF00126	119
PF00892	41
PF12833	50
PF07687	98
PF00202	44
PF00384	35
PF01568	33
PF00037	54
PF12837	37
PF12800	34
PF00890	67
PF07992	74
PF04851	52
PF01041	36
PF02687	65
PF12704	48
PF13673	87
PF07812	66
PF01381	104
PF12844	54
PF00702	42
PF00070	51
PF13738	39
PF07969	34
PF01979	43
PF00293	43
PF13450	75
PF01494	83
PF01636	34
PF00441	34
PF02517	34
PF00919	40
PF08242	112
PF01053	54
PF00155	100
PF00990	54
PF13489	134
PF02353	43
PF13186	36
PF00291	35
PF13460	45
PF01370	93
PF07366	74
PF00107	41
PF13193	53
PF00501	80
PF12802	51
PF00069	40
PF07714	39
PF00392	70
PF01810	42
PF00903	43
PF00931	55
PF08240	38
PF01609	33
PF01047	43
PF13463	39
PF05977	37
PF00067	61
PF01966	33
PF01926	34
PF00535	45
PF13641	37
PF13191	56
PF12679	39
PF13181	52
PF00512	51
